Nom	Prénom	Code_Joueur	Code_Temoin
		Cigogne-Bricoleur-101	Coyote-Éveillé-101
		Ibex-Calme-102	Macaque-Savoyard-102
		Ours-Clairvoyant-103	Loris-Protecteur-103
		Raton-Malin-104	Coyote-Curieux-104
		Hocco-Calme-105	Flamant-Positif-105
		Coyote-Inspiré-106	Dhole-Clairvoyant-106
		Faucon-Calme-107	Colibri-Protecteur-107
		Manchot-Zélé-108	Gecko-Attentif-108
		Zèbre-Serein-109	Hibou-Éveillé-109
		Guépard-Responsable-110	Gecko-Joyeux-110
		Takin-Curieux-111	Dauphin-Savoyard-111
		Girafe-Créatif-112	Marmotte-Patient-112
		Lamantin-Malin-113	Mouette-Courageux-113
		Chinchilla-Bricoleur-114	Dauphin-Curieux-114
		Suricate-Optimiste-115	Mangouste-Rigoureux-115
		Hérisson-Éthique-116	Canard-Explorateur-116
		Antilope-Zen-117	Wallaby-Calme-117
		Varan-Optimiste-118	Babouin-Calme-118
		Lama-Savoyard-119	Dauphin-Éveillé-119
		Chamois-Éthique-120	Saïga-Éthique-120
		Girafe-Responsable-121	Dingo-Éveillé-121
		Zèbre-Zen-122	Marmotte-Attentif-122
		Chinchilla-Solidaire-123	Saïga-Courageux-123
		Dauphin-Éveillé-124	Cigogne-Inspiré-124
		Narval-Vigilant-125	Putois-Bondissant-125
		Marabout-Malin-126	Lamantin-Vigilant-126
		Cerf-Éveillé-127	Serval-Responsable-127
		Vautour-Amical-128	Walrus-Vigilant-128
		Hocco-Rayonnant-129	Panthère-Courageux-129
		Sitatunga-Patient-130	Macaque-Solidaire-130
		Bouvreuil-Inspiré-131	Chinchilla-Patient-131
		Bouvreuil-Protecteur-132	Raton-Protecteur-132
		Cerf-Éthique-133	Narval-Gentil-133
		Jaguar-Rayonnant-134	Loris-Bondissant-134
		Lama-Bricoleur-135	Guépard-Attentif-135
		Pélican-Serein-136	Cheval-Zen-136
		Pingouin-Juste-137	Cheval-Courageux-137
		Gorille-Patient-138	Suricate-Zélé-138
		Lion-Bricoleur-139	Lion-Clairvoyant-139
		Iguane-Éveillé-140	Varan-Joyeux-140
		Élan-Optimiste-141	Bison-Attentif-141
		Chamois-Zélé-142	Mésange-Patient-142
		Flamant-Dynamique-143	Flamant-Savoyard-143
		Morse-Intègre-144	Putois-Persévérant-144
		Marmotte-Explorateur-145	Guépard-Éthique-145
